time_s,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
0,21.82,21.38,21.30,21.04,21.73,21.30
2,21.82,21.47,21.30,21.04,21.73,21.21
4,21.82,21.47,21.30,21.04,21.90,21.30
6,21.82,21.47,21.30,21.13,21.73,21.04
8,21.90,21.47,21.30,21.04,21.82,21.13
10,21.82,21.47,21.30,21.13,21.73,21.13
12,21.82,21.47,21.30,21.13,21.73,21.13
14,21.82,21.47,21.30,21.13,21.73,21.30
16,21.82,21.47,21.30,21.13,21.73,21.30
18,21.82,21.47,21.21,21.13,21.73,21.30
20,21.82,21.56,21.30,21.13,21.73,21.30
22,21.82,21.56,21.30,21.13,21.73,21.30
24,21.82,21.56,21.30,21.13,21.73,21.30
26,21.82,21.56,21.30,21.13,21.73,21.21
28,21.82,21.56,21.30,21.13,21.73,21.13
30,21.82,21.56,21.30,21.13,21.73,21.13
32,21.82,21.64,21.30,21.13,21.73,21.04
34,21.82,21.64,21.21,21.13,21.73,21.21
36,21.90,21.64,21.21,21.13,21.73,21.21
38,21.90,21.73,21.30,21.13,21.73,21.30
40,21.90,21.73,21.30,21.13,21.82,21.30
42,21.82,21.73,21.30,21.13,21.73,21.30
44,21.82,21.82,21.21,21.13,21.73,21.30
46,21.82,21.82,21.21,21.13,21.73,21.30
48,21.82,21.82,21.21,21.13,21.73,21.21
51,21.82,21.82,21.30,21.13,21.73,21.21
53,21.82,21.90,21.21,21.13,21.73,21.21
55,21.82,21.90,21.30,21.13,21.73,21.21
57,21.90,21.99,21.13,21.13,21.82,21.21
59,21.90,21.99,21.30,21.13,21.73,21.21
61,21.90,21.99,21.30,21.13,21.73,21.21
63,21.90,22.08,21.30,21.13,21.73,21.21
65,21.90,22.08,21.30,21.13,21.73,21.21
67,21.90,22.08,21.30,21.13,21.73,20.87
69,21.90,22.16,21.30,21.13,21.73,21.21
71,21.90,22.16,21.30,21.13,21.73,21.30
73,21.90,22.25,21.30,21.21,21.82,21.21
75,21.90,22.25,21.30,21.13,21.82,21.21
77,21.90,22.25,21.30,21.13,21.73,21.21
79,21.90,22.34,21.30,21.13,21.73,21.30
81,21.90,22.34,21.30,21.21,21.73,21.21
83,21.90,22.42,21.30,21.21,21.73,21.21
85,21.90,22.42,21.30,21.21,21.73,21.30
87,21.90,22.51,21.30,21.21,21.73,21.30
89,21.90,22.51,21.30,21.21,21.73,21.38
91,21.90,22.51,21.30,21.21,21.73,21.47
93,21.90,22.60,21.38,21.21,21.82,21.30
95,21.90,22.68,21.30,21.21,21.82,21.30
97,21.99,22.68,21.38,21.21,21.82,21.21
99,21.99,22.68,21.38,21.21,21.82,21.13
101,21.99,22.77,21.38,21.21,21.73,21.13
103,21.99,22.77,21.38,21.21,21.82,20.95
105,21.99,22.86,21.38,21.21,21.82,21.04
