time_s,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
0,27.89,28.07,27.17,26.82,27.62,26.37
2,27.89,27.53,27.26,27.08,27.26,26.28
4,27.80,27.89,27.17,26.73,27.44,25.93
6,26.73,27.44,27.08,27.17,27.44,26.37
8,27.89,27.80,27.08,26.73,27.62,26.55
10,27.98,27.89,27.08,26.73,27.44,26.73
12,27.98,27.62,26.99,26.73,27.26,26.46
14,28.25,27.89,27.17,26.64,27.26,26.46
16,28.52,26.46,26.99,26.73,27.35,26.73
18,28.61,27.80,27.26,26.73,27.26,26.46
20,28.80,27.62,27.35,26.82,27.17,26.10
22,29.34,27.53,26.99,26.82,27.53,25.04
24,28.34,27.53,26.99,26.73,27.35,26.64
26,29.62,27.80,27.08,26.82,27.17,26.28
28,29.89,27.53,27.26,27.17,27.53,26.37
30,30.54,26.64,27.08,26.73,27.17,26.28
32,30.63,27.53,26.99,26.64,27.26,26.46
34,31.28,26.82,27.26,26.73,27.17,26.28
36,31.28,27.71,27.44,27.17,27.44,26.37
38,31.56,27.53,27.08,26.64,27.17,26.46
40,31.94,27.62,27.08,26.64,27.17,26.37
42,32.13,27.62,27.08,26.64,27.17,26.28
44,32.51,27.71,27.08,26.64,27.08,26.10
46,32.79,27.71,27.17,26.73,27.26,26.28
48,33.18,27.71,27.26,26.82,27.35,26.37
51,33.46,27.80,27.26,26.82,27.35,26.28
53,33.85,27.80,27.17,26.64,26.99,26.02
55,34.43,27.62,27.44,26.91,27.17,26.10
57,34.53,27.98,27.44,26.99,27.44,26.46
59,34.73,27.89,27.17,26.64,26.99,25.31
61,35.22,28.07,27.35,26.73,27.08,26.10
63,35.51,28.16,27.53,26.99,27.35,26.46
65,35.71,28.16,27.44,26.91,27.26,26.28
67,35.91,27.98,27.26,26.64,27.08,25.93
69,36.11,27.98,27.26,26.64,26.99,25.93
71,36.41,28.07,27.26,26.64,26.91,26.02
73,36.92,28.34,27.53,26.91,27.26,26.28
75,37.02,28.16,27.35,26.64,26.99,26.02
77,37.43,28.34,27.53,26.91,27.26,26.28
79,37.53,28.25,27.35,26.64,26.99,26.02
81,37.74,28.25,27.35,26.64,26.99,26.02
83,38.15,28.43,27.53,26.73,27.08,26.19
85,38.25,28.25,27.44,26.64,26.99,26.10
87,38.57,28.34,27.44,26.64,26.99,26.10
89,38.88,28.52,27.71,26.91,26.37,26.55
91,39.20,28.71,27.71,26.82,27.08,26.28
93,38.98,28.71,27.98,27.08,27.35,26.55
95,39.51,28.61,27.80,26.37,27.17,26.82
97,39.73,28.61,27.62,26.82,26.99,26.37
99,39.94,28.52,27.53,26.73,27.08,26.46
101,40.37,29.07,27.89,26.82,27.08,26.37
103,40.37,28.71,27.71,26.91,26.10,26.64
105,40.59,28.71,27.62,26.64,26.99,26.28
108,40.80,28.52,28.07,26.99,27.08,26.46
110,41.02,28.71,27.62,26.73,27.17,26.73
112,41.46,29.07,27.71,27.08,27.26,26.46
114,41.57,29.07,27.89,27.08,27.26,26.46
116,41.57,28.89,27.80,26.91,26.10,26.73
118,41.90,29.16,28.16,26.99,27.17,26.37
120,42.01,28.98,27.71,26.73,27.17,26.55
122,42.24,29.16,27.89,26.64,26.91,26.19
124,42.46,29.34,27.98,27.08,27.17,26.28
126,42.57,29.07,27.80,26.73,27.08,26.46
128,42.91,29.34,28.25,26.91,27.08,26.28
130,43.03,29.34,28.34,26.99,27.17,26.28
132,43.14,29.25,27.89,26.64,26.99,26.10
134,42.91,29.71,28.16,26.82,26.99,26.02
136,43.48,29.53,28.43,26.99,27.17,26.02
138,43.72,29.53,27.80,27.08,27.17,26.10
140,43.95,29.53,28.07,26.73,26.99,26.02
142,43.95,29.43,28.34,26.99,27.35,26.19
144,44.18,29.53,28.07,26.73,27.08,26.37
146,43.95,29.89,28.34,26.82,26.99,26.10
148,44.53,29.07,28.52,26.91,26.82,26.19
150,44.18,29.99,28.34,26.82,26.99,26.55
152,44.53,29.99,28.34,26.82,26.91,26.10
154,45.12,29.89,28.25,26.82,26.99,26.10
156,45.00,29.71,28.34,25.93,27.44,26.19
158,45.48,30.17,28.43,26.91,26.99,26.02
160,45.48,29.80,28.25,26.82,27.17,26.37
162,45.60,29.99,28.07,27.08,27.08,26.10
165,46.08,30.08,28.43,26.82,26.99,26.19
167,45.84,29.89,28.34,26.64,27.44,26.19
169,46.08,30.35,28.52,26.91,26.99,26.02
171,46.08,29.99,28.61,27.17,27.26,25.93
173,46.20,30.08,28.43,26.91,27.35,26.28
175,46.33,30.08,28.71,27.35,27.53,25.93
177,46.57,30.08,28.43,26.91,27.35,26.10
179,46.57,30.17,28.80,27.35,27.17,25.84
181,46.20,30.54,28.71,26.82,26.99,25.84
183,46.82,30.17,28.52,26.99,27.17,26.02
185,46.94,30.17,28.71,26.91,27.26,25.84
187,47.06,30.35,27.89,27.17,27.08,25.75
189,47.31,30.35,28.61,26.91,27.17,26.19
191,47.44,30.63,29.07,27.08,26.99,25.75
193,47.56,30.54,29.07,27.08,27.08,25.84
195,47.56,30.45,28.80,27.17,27.35,25.84
197,47.82,30.63,29.07,27.08,26.99,25.75
199,48.07,30.91,28.89,26.91,26.99,26.02
201,48.20,30.72,28.80,26.91,27.17,26.19
203,48.20,30.82,28.89,26.91,27.08,24.87
205,48.20,30.63,28.07,27.26,27.08,25.84
207,48.32,29.99,29.16,27.08,26.99,25.75
209,48.45,30.72,28.16,27.26,27.17,25.75
211,48.58,30.91,29.34,27.17,27.08,25.84
213,48.71,31.19,29.07,26.99,26.99,26.10
215,47.94,31.10,28.98,26.99,27.08,25.04
217,48.84,31.10,29.34,27.17,27.08,25.93
219,48.97,30.82,29.07,27.26,27.53,25.93
221,49.10,30.26,29.25,27.08,27.08,25.93
224,49.10,30.91,29.16,27.53,27.26,25.84
226,49.36,31.38,29.25,27.08,27.08,26.10
228,49.49,31.19,29.07,27.08,27.26,26.37
230,49.49,31.00,29.16,27.26,27.53,26.10
232,49.49,31.10,29.16,27.26,27.62,26.10
234,50.02,31.28,29.25,27.08,27.17,26.46
236,49.62,31.19,29.43,27.26,27.08,26.02
238,49.62,31.19,29.43,27.44,27.26,25.93
240,49.75,31.47,29.25,27.08,27.17,26.28
242,49.89,31.38,29.53,27.17,27.08,26.02
244,49.89,31.38,29.25,27.26,27.26,26.10
246,50.15,31.66,29.34,27.17,27.17,25.13
248,50.02,31.38,29.25,27.26,27.53,26.19
250,50.29,31.75,29.53,27.17,27.08,26.37
252,50.29,31.47,29.34,27.26,27.53,26.19
254,50.29,31.56,29.71,27.26,27.17,26.10
256,50.42,31.47,29.62,27.71,27.26,25.93
258,50.42,31.56,29.71,27.71,27.26,25.93
260,50.55,31.66,29.53,27.26,27.35,26.37
262,50.55,31.56,29.62,27.53,27.35,26.02
264,50.69,31.75,28.98,27.53,27.17,26.02
266,50.82,31.85,29.53,27.26,27.35,26.37
268,50.82,31.75,29.62,27.44,27.62,26.10
270,50.96,31.94,30.08,27.44,27.17,26.02
272,50.96,31.94,29.99,27.44,27.17,26.02
274,51.10,31.85,29.80,27.80,27.26,25.93
276,51.10,31.85,29.99,27.71,27.26,25.93
278,51.37,32.32,29.80,27.35,27.17,26.19
281,51.23,32.03,29.71,27.44,27.35,26.10
283,51.37,31.94,29.80,27.62,27.53,25.93
285,51.51,32.03,29.89,27.80,27.35,25.84
287,51.51,32.13,29.80,27.44,26.64,26.10
289,51.65,32.22,29.80,27.44,27.44,26.28
291,51.79,32.41,30.08,27.44,27.08,26.02
293,51.79,32.22,29.89,27.53,27.62,26.10
295,51.79,32.22,29.89,27.71,27.53,25.93
297,51.79,32.22,29.99,26.64,27.35,25.93
299,51.92,32.32,29.89,27.53,27.62,26.10
301,52.06,32.32,29.89,27.53,27.44,26.10
303,52.06,32.32,29.99,27.71,27.44,25.84
305,52.20,32.41,30.26,27.53,27.17,25.84
307,51.37,32.60,30.08,27.44,27.35,26.19
309,52.34,32.41,30.17,27.89,27.26,26.02
311,52.34,32.51,30.26,27.62,27.17,26.10
313,52.34,32.51,30.08,27.62,27.62,26.19
315,52.49,32.51,30.17,27.89,27.35,26.10
317,52.49,32.60,30.08,27.71,27.53,26.10
319,52.49,32.60,30.35,27.80,27.26,26.02
321,52.49,32.60,30.26,27.98,27.35,26.02
323,52.63,32.89,30.45,27.62,27.17,26.02
325,52.77,32.89,30.54,27.62,27.17,25.84
327,52.06,32.89,30.35,27.53,27.53,25.93
329,52.77,32.89,30.26,27.62,26.46,26.19
331,52.91,33.08,30.45,27.53,27.26,26.46
333,53.06,32.98,30.63,27.62,27.17,26.02
335,53.06,32.89,30.54,27.80,27.17,25.93
338,53.06,33.08,30.63,27.62,27.26,25.22
340,53.20,33.27,30.45,27.62,27.44,26.19
342,53.20,33.27,30.54,27.62,27.44,26.19
344,53.20,32.98,30.54,27.98,27.35,25.93
346,53.20,32.98,30.63,27.89,27.26,25.84
348,53.34,33.37,30.45,27.62,27.62,26.10
350,53.49,33.37,30.54,27.62,27.44,26.19
352,54.22,33.18,30.45,27.80,27.62,25.75
354,53.49,33.46,30.63,27.71,26.46,26.02
356,53.49,33.46,30.54,27.71,26.55,26.02
358,53.63,33.37,30.63,27.80,27.80,26.02
360,53.63,33.18,30.82,27.98,27.26,26.02
362,53.63,33.27,30.72,27.71,27.35,26.37
364,52.63,33.37,30.63,27.89,27.62,26.02
366,53.78,33.27,30.72,28.07,27.26,26.02
368,54.22,33.46,30.63,27.98,27.62,26.02
370,53.93,33.56,30.63,27.89,27.71,26.10
372,53.93,33.66,30.72,27.80,27.80,26.10
374,54.22,33.56,30.72,28.07,27.53,26.02
376,54.07,33.46,31.10,27.80,27.35,26.28
378,54.07,32.89,30.91,27.80,27.53,25.84
380,54.22,33.66,30.72,27.98,27.62,25.75
382,54.07,33.56,31.19,27.89,27.35,26.10
384,54.22,33.56,31.00,27.98,27.26,25.84
386,54.22,33.66,30.82,28.16,27.44,25.66
388,54.22,33.85,31.00,27.80,27.62,26.10
390,55.27,33.75,30.91,27.08,27.53,25.57
392,54.37,33.95,31.00,27.89,27.71,25.84
395,54.37,34.04,31.00,27.89,27.80,25.84
397,54.37,33.75,31.10,28.16,27.26,25.93
399,54.37,33.85,31.28,27.98,27.44,26.37
401,54.37,33.75,31.47,27.98,27.35,26.37
403,54.52,33.85,31.10,27.98,27.35,25.93
405,54.52,33.85,31.38,27.98,27.44,26.46
407,54.67,34.04,31.00,28.07,27.62,26.02
409,55.12,33.95,31.00,28.07,27.53,26.02
411,54.67,34.04,31.28,27.98,27.53,26.28
413,54.67,33.95,31.47,27.98,27.44,26.46
415,54.67,34.04,31.19,27.98,27.35,26.10
417,54.82,34.04,31.28,27.98,26.55,26.02
419,54.82,34.33,31.19,27.98,27.80,25.93
421,54.82,34.04,31.56,28.07,27.44,26.28
423,54.82,34.04,31.38,28.34,27.44,26.10
425,54.97,33.66,31.38,27.98,27.26,26.10
427,54.97,34.14,31.47,28.25,27.44,26.10
429,54.97,34.14,31.38,28.34,27.44,25.93
431,54.97,34.24,31.66,28.16,27.44,26.19
433,53.93,34.33,31.19,27.35,27.53,25.75
435,55.12,34.24,31.56,28.25,27.44,26.02
437,55.12,34.63,31.38,28.16,27.80,25.84
439,55.27,34.73,31.38,28.07,27.89,25.84
441,55.12,34.33,31.28,28.52,27.44,25.93
443,55.27,33.95,31.38,28.16,27.35,25.84
445,55.27,34.33,31.56,28.25,27.44,25.04
447,55.27,34.33,31.47,28.34,27.44,26.10
449,55.42,34.63,31.38,28.34,27.62,25.84
452,55.42,34.53,31.38,27.44,27.62,25.84
454,55.42,34.63,31.47,28.43,27.62,25.75
456,55.42,34.53,31.56,28.25,27.53,26.28
458,55.42,34.53,31.56,28.43,27.44,26.64
460,55.88,34.53,31.47,28.61,27.53,26.02
462,55.57,34.53,31.66,28.25,27.44,25.93
464,55.57,34.82,31.75,28.16,27.53,25.75
466,55.57,34.73,31.85,28.25,27.71,25.84
468,56.66,34.63,31.66,28.61,27.53,25.75
470,55.57,34.63,32.03,28.25,27.62,25.93
472,55.73,34.82,31.85,28.25,26.73,25.84
474,56.03,34.73,31.75,28.52,27.62,26.02
476,55.57,34.73,31.85,28.43,27.53,24.87
478,55.73,34.73,31.10,28.34,27.53,26.10
480,55.73,34.82,32.03,28.43,27.62,26.02
482,56.19,34.82,31.85,28.52,27.53,25.04
484,55.88,34.92,31.94,28.25,27.26,25.93
486,55.88,34.92,32.13,28.34,27.71,26.02
488,55.88,34.82,31.28,28.43,27.53,26.28
490,56.03,35.12,31.94,28.34,28.07,25.84
492,56.03,34.92,32.22,28.34,27.80,26.02
494,56.03,34.92,32.22,28.34,27.89,25.93
496,56.03,35.02,32.03,28.43,27.62,26.02
498,56.19,34.92,31.94,28.43,27.89,25.57
500,56.19,35.12,32.03,28.34,27.08,25.84
502,56.19,35.12,32.13,28.43,27.80,26.02
504,56.34,35.32,31.94,28.52,27.80,25.84
506,56.19,35.12,31.94,28.52,27.80,25.75
509,56.19,35.12,32.03,28.52,27.62,26.02
511,56.19,35.12,31.38,28.52,27.71,26.02
513,56.34,35.22,31.94,28.43,27.89,25.66
515,56.34,35.22,32.13,28.61,27.62,26.10
517,56.97,35.22,32.13,28.71,27.62,25.84
519,56.34,35.42,32.13,28.52,27.98,25.57
521,56.34,35.42,32.13,28.16,27.71,25.66
523,56.50,35.42,32.22,28.52,27.98,25.57
525,56.50,35.51,32.22,28.71,27.71,25.66
527,56.50,35.32,32.60,28.52,27.89,25.75
529,56.50,35.32,32.32,28.61,27.71,25.93
531,56.50,35.51,32.41,28.52,27.89,25.66
533,56.66,35.32,32.22,28.71,27.80,25.57
535,56.50,35.61,32.32,28.52,28.07,25.57
537,56.66,35.42,32.22,28.61,27.98,25.57
539,56.66,35.61,32.32,28.61,28.07,25.57
541,56.66,34.92,32.22,28.71,27.89,25.66
543,56.66,35.71,32.22,28.61,27.98,25.66
545,56.66,35.71,32.32,28.61,27.98,25.57
547,56.66,35.71,32.32,28.61,27.98,25.57
549,56.66,35.61,32.60,28.61,26.99,25.66
551,55.57,35.71,32.32,28.80,27.71,26.02
553,56.82,35.71,32.51,28.61,28.16,25.57
555,56.97,35.61,32.41,28.80,27.89,25.48
557,56.97,35.91,32.32,28.80,27.80,25.66
559,56.82,35.81,32.41,28.89,27.71,26.10
561,57.94,35.71,32.60,28.80,27.80,25.84
563,56.97,35.71,32.51,28.80,27.89,25.48
565,56.97,35.81,31.94,28.80,27.89,25.66
568,56.97,35.81,32.79,28.71,27.80,25.57
570,56.97,35.81,32.51,28.89,27.98,25.48
572,57.13,35.91,32.70,28.71,28.16,25.48
574,57.13,36.01,32.70,28.80,28.07,25.40
576,57.13,36.21,32.51,29.07,27.89,25.57
578,57.13,35.81,32.60,28.89,27.98,25.57
580,57.13,35.91,32.60,28.98,27.89,25.66
582,57.13,36.01,32.70,28.80,28.25,25.66
584,57.13,36.01,32.13,28.89,27.89,25.84
