time_s,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
0,26.10,25.57,24.96,24.78,25.75,25.84
2,26.10,26.28,24.96,24.69,25.57,25.66
4,26.02,26.02,25.22,24.96,25.48,25.84
6,24.87,26.02,24.96,24.78,25.48,25.93
8,26.19,26.19,25.31,25.13,24.25,25.93
10,26.02,25.93,24.96,24.69,25.40,25.75
12,26.02,25.93,24.87,24.69,25.40,25.84
14,26.19,26.19,25.04,24.69,25.31,25.75
16,25.93,25.93,23.82,24.96,25.57,25.66
18,25.93,25.93,25.31,24.78,25.31,25.66
20,25.93,26.02,25.22,24.69,25.40,26.10
22,25.93,25.93,25.31,24.69,25.31,25.93
24,26.02,26.10,24.87,24.96,25.31,25.75
26,25.93,26.10,24.78,24.96,25.22,24.60
28,25.93,24.96,24.87,23.64,25.22,25.93
30,25.93,26.02,24.87,24.96,25.31,25.93
32,26.28,25.84,25.04,24.60,25.31,25.75
34,25.84,26.10,24.96,24.60,25.31,25.40
36,25.84,26.02,25.13,24.52,25.40,25.48
38,26.02,26.10,24.87,24.69,25.48,25.57
40,26.10,25.93,24.96,24.87,25.22,25.22
42,25.84,26.10,23.90,24.60,25.22,25.40
44,26.02,25.93,24.96,24.87,25.31,25.04
46,26.10,25.93,24.87,24.69,24.78,25.22
48,25.84,26.02,25.22,23.64,25.13,25.22
51,26.02,26.46,25.13,24.52,24.96,25.40
53,25.84,26.02,24.96,24.78,25.22,25.40
55,25.93,26.19,25.40,24.87,25.13,25.31
57,25.93,26.28,25.13,24.69,25.13,25.31
59,25.84,26.10,24.96,24.69,25.40,25.04
61,25.84,26.10,25.04,24.69,25.31,25.75
63,25.84,26.10,24.96,24.60,25.22,25.66
65,25.93,26.28,25.22,24.96,24.78,25.48
67,26.10,26.55,24.52,24.78,25.04,25.13
69,25.84,26.19,25.04,24.60,25.22,25.48
71,25.04,26.37,25.13,24.60,25.04,25.04
73,26.02,26.46,25.40,25.04,24.87,25.40
75,25.84,26.28,25.04,24.60,25.13,25.22
