time_s,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
0,28.25,27.98,27.53,27.53,27.53,27.26
2,28.43,28.16,27.44,27.26,27.89,26.99
4,28.80,28.34,27.53,27.26,27.80,26.73
6,28.34,28.16,27.53,27.53,28.07,27.17
8,28.43,28.16,27.44,27.35,28.07,25.66
10,28.34,28.16,27.71,27.71,28.43,26.99
12,28.52,28.25,27.53,27.35,27.98,26.99
14,28.80,28.34,27.62,27.35,27.89,26.82
16,28.71,28.80,27.89,27.44,27.89,26.55
18,28.71,28.61,27.98,27.53,27.98,26.73
20,28.98,28.43,27.71,27.35,27.89,26.82
22,28.34,28.25,27.80,26.37,28.43,26.91
24,28.80,28.71,27.89,27.53,27.89,26.64
26,28.43,28.43,26.99,27.89,28.16,26.73
28,28.61,27.35,28.16,27.53,27.98,26.64
30,28.80,28.80,27.98,27.53,27.98,26.55
32,28.98,28.61,27.80,27.35,27.98,26.64
34,28.71,28.34,27.71,27.44,27.98,26.99
36,28.61,28.07,28.34,27.71,28.07,26.55
38,28.43,28.43,28.16,27.98,28.25,26.82
40,28.61,28.71,28.34,27.71,28.07,26.64
42,28.52,28.43,27.80,27.62,27.62,26.99
44,28.07,28.80,27.98,27.44,27.89,26.64
46,28.43,28.61,27.89,27.80,28.07,26.64
48,28.52,28.52,27.98,26.46,28.43,26.82
51,28.71,28.98,28.07,27.44,27.89,26.46
53,28.61,28.80,28.34,27.71,28.07,26.55
55,28.89,29.07,28.07,27.35,27.89,26.64
57,28.52,28.80,27.71,27.80,28.07,26.64
59,28.61,28.61,27.89,27.53,26.99,27.17
61,28.43,28.98,28.07,27.44,27.98,26.64
63,28.61,28.89,28.34,27.62,28.07,26.64
65,28.61,28.71,28.07,27.80,28.43,26.82
67,28.61,28.71,28.16,26.99,28.25,26.82
69,28.89,29.25,28.25,27.53,27.89,26.64
71,28.61,28.98,27.08,27.89,28.16,26.64
73,28.98,29.43,28.34,27.53,27.98,26.64
75,28.80,28.71,28.43,27.62,27.89,26.55
77,29.07,28.98,28.16,27.44,28.07,27.17
79,29.07,29.25,28.25,27.53,27.98,26.91
81,28.89,29.34,28.43,27.53,27.98,26.73
83,29.25,29.16,28.16,27.44,28.07,26.46
85,28.80,29.07,28.34,27.89,28.43,26.82
87,28.80,29.07,28.34,26.55,28.34,26.73
89,28.89,29.07,28.34,27.89,28.43,26.73
91,28.80,29.25,27.35,27.89,28.07,26.64
93,28.89,29.53,28.80,27.71,27.98,26.55
95,29.07,29.80,28.52,27.53,27.98,26.82
97,28.89,29.34,28.71,28.16,28.07,26.64
99,28.89,29.34,28.71,28.07,28.07,26.64
101,28.89,29.53,28.52,27.89,27.98,26.64
103,29.34,29.71,28.52,27.62,28.07,25.75
105,29.07,29.43,28.52,27.80,28.52,26.99
108,29.16,30.08,28.71,27.62,27.98,26.82
110,28.98,29.53,28.52,27.98,28.43,26.82
112,29.25,29.89,28.61,27.62,28.16,27.26
114,29.34,30.08,28.80,27.62,27.98,25.75
116,29.07,29.71,28.80,28.16,28.16,26.73
118,29.07,29.80,28.25,27.89,28.07,26.64
120,29.16,28.98,29.07,27.71,27.98,26.91
122,29.25,29.80,28.89,28.16,28.16,26.64
124,29.34,30.45,28.98,27.71,28.07,25.75
126,29.53,29.99,28.71,27.80,28.61,26.91
128,29.71,30.08,28.89,27.80,27.62,26.91
130,29.16,30.17,29.43,27.89,27.98,26.73
132,29.53,30.08,28.89,28.07,28.34,26.73
134,29.34,29.25,29.25,27.80,27.98,26.82
136,29.43,30.17,29.16,28.34,28.16,26.55
138,29.34,30.54,29.43,27.80,27.98,26.82
140,29.89,30.35,29.07,27.89,28.52,26.19
142,29.71,30.63,29.16,27.80,28.25,27.08
144,29.43,30.45,29.71,27.89,27.98,26.73
146,29.71,30.82,29.25,27.80,28.16,27.08
148,29.43,30.54,29.62,27.98,27.98,26.73
150,29.62,31.00,29.34,27.80,28.16,27.17
