time_s,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
0,24.25,24.08,23.12,22.86,23.55,23.21
2,24.25,24.08,23.21,22.86,23.55,23.21
4,24.25,24.08,23.12,22.86,23.55,23.21
6,24.25,24.08,23.21,22.86,23.64,23.12
8,24.34,24.08,23.21,22.94,23.64,23.21
10,24.43,24.08,23.21,22.86,23.55,23.12
12,24.60,24.17,23.21,22.86,23.55,23.12
14,24.87,24.08,23.21,22.94,23.55,23.03
16,25.13,24.08,23.21,22.94,23.64,23.03
18,25.40,24.08,23.29,22.94,23.64,22.77
20,25.75,24.17,23.29,22.94,23.55,22.86
22,26.10,24.17,23.29,22.94,23.64,22.94
24,26.46,24.17,23.29,22.86,23.64,22.94
26,26.91,24.25,23.38,22.94,23.64,23.29
28,27.26,24.25,23.38,22.94,23.64,22.86
30,27.71,24.25,23.38,22.94,23.55,22.86
32,28.16,24.34,23.38,22.94,23.55,22.94
34,28.52,24.34,23.47,22.94,23.55,22.68
36,28.98,24.43,23.55,22.94,23.55,23.03
38,29.43,24.43,23.55,22.94,23.55,23.03
40,29.89,24.52,23.55,22.94,23.55,23.03
42,30.26,24.52,23.64,22.94,23.55,23.03
44,30.72,24.60,23.73,22.94,23.47,22.94
46,31.19,24.69,23.73,22.94,23.55,23.12
48,31.56,24.69,23.82,22.94,23.55,22.68
51,31.94,24.78,23.90,22.94,23.47,23.03
53,32.41,24.78,23.90,23.03,23.47,23.12
55,32.79,24.87,23.99,23.03,23.55,23.03
57,33.18,24.96,24.08,23.03,23.47,22.94
59,33.56,25.04,24.17,23.03,23.47,22.94
61,33.95,25.04,24.25,22.94,23.47,22.94
63,34.33,25.13,24.34,23.03,23.47,22.94
65,34.73,25.22,24.34,23.03,23.47,22.94
67,35.12,25.31,24.43,23.03,23.47,22.86
69,35.51,25.40,24.52,23.03,23.55,22.86
71,35.81,25.40,24.60,23.03,23.47,22.86
73,36.21,25.48,24.69,23.03,23.47,22.86
75,36.51,25.57,24.78,23.03,23.47,22.94
77,36.92,25.66,24.87,23.03,23.47,22.94
79,37.22,25.75,24.87,23.03,23.47,22.86
81,37.53,25.75,24.96,23.12,23.47,22.86
83,37.84,25.93,25.04,23.12,23.47,22.94
85,38.15,25.93,25.13,23.12,23.47,22.94
87,38.46,26.02,25.22,23.12,23.55,22.94
89,38.88,26.10,25.31,23.12,23.47,22.86
91,39.20,26.19,25.40,23.12,23.47,22.86
93,39.41,26.28,25.40,23.12,23.47,22.86
95,39.73,26.37,25.48,23.12,23.47,22.77
97,40.05,26.46,25.57,23.12,23.47,22.77
99,40.26,26.55,25.66,23.12,23.55,22.77
101,40.59,26.64,25.75,23.12,23.47,22.77
103,40.91,26.73,25.75,23.21,23.55,22.86
105,41.24,26.82,25.84,23.21,23.55,22.86
108,41.46,26.91,25.93,23.21,23.55,22.86
110,41.79,26.91,26.02,23.21,23.47,22.77
112,42.01,26.99,26.10,23.21,23.55,22.86
114,42.35,27.08,26.10,23.21,23.47,22.68
116,42.57,27.17,26.19,23.21,23.47,22.68
118,42.80,27.26,26.28,23.29,23.47,22.86
120,43.03,27.35,26.37,23.29,23.55,22.86
122,43.26,27.44,26.46,23.29,23.55,22.86
124,43.48,27.53,26.55,23.29,23.55,22.86
126,43.72,27.62,26.55,23.29,23.47,22.94
128,44.06,27.80,26.64,23.29,23.55,22.86
130,44.18,27.80,26.73,23.29,23.55,22.86
132,44.53,27.89,26.82,23.38,23.55,22.77
134,44.77,27.98,26.99,23.38,23.55,22.86
136,45.00,28.07,26.91,23.38,23.55,22.86
138,45.12,28.16,26.99,23.38,23.55,22.77
140,45.36,28.25,27.08,23.38,23.55,22.77
142,45.60,28.34,27.17,23.38,23.55,22.77
144,45.84,28.43,27.35,23.47,23.55,22.77
146,46.08,28.52,27.35,23.47,23.55,22.68
148,46.33,28.61,27.44,23.47,23.55,22.77
150,46.45,28.71,27.53,23.47,23.55,22.77
152,46.69,28.80,27.53,23.55,23.64,22.77
154,46.94,28.89,27.62,23.55,23.55,22.77
156,47.19,28.98,27.71,23.55,23.55,22.77
158,47.44,29.07,27.80,23.55,23.64,22.77
160,47.56,29.16,27.89,23.64,23.55,22.77
162,47.82,29.25,27.98,23.64,23.64,22.86
165,48.07,29.34,27.98,23.64,23.64,22.77
167,48.20,29.43,28.16,23.64,23.55,22.86
169,48.45,29.53,28.16,23.64,23.64,22.86
171,48.58,29.62,28.25,23.64,23.64,22.86
173,48.84,29.71,28.34,23.73,23.64,22.77
175,48.97,29.80,28.43,23.73,23.64,22.77
177,49.23,29.89,28.52,23.73,23.64,22.86
179,49.36,29.99,28.61,23.73,23.64,22.86
181,49.62,30.08,28.71,23.82,23.64,22.86
183,49.75,30.17,28.71,23.82,23.64,22.77
