time_s,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
0,24.69,24.17,23.82,23.47,24.17,23.55
2,24.60,23.82,23.82,23.47,24.17,23.55
4,26.37,25.48,25.31,24.96,25.48,25.04
6,25.48,24.69,24.96,24.17,24.87,24.78
8,24.69,24.69,24.43,24.60,25.04,24.17
10,25.48,24.69,24.43,24.60,25.22,23.99
12,25.75,24.69,24.34,24.43,24.17,24.08
14,25.93,24.69,24.34,24.34,25.31,24.17
16,25.04,24.78,24.25,24.08,25.13,23.73
18,25.84,24.69,24.52,24.69,25.31,23.90
20,26.10,25.22,23.82,24.08,24.69,24.17
22,26.19,24.96,24.87,24.25,24.69,24.08
24,26.64,24.69,24.34,24.34,25.13,24.17
26,26.73,25.04,24.69,24.25,24.69,23.90
28,26.91,25.22,23.99,24.25,24.69,23.99
30,27.35,25.48,24.87,24.08,24.69,24.17
32,27.44,25.31,23.82,24.17,24.60,24.08
34,28.07,25.13,24.34,24.08,24.96,24.52
36,27.89,25.22,24.87,24.25,24.69,23.99
38,28.34,25.48,23.90,24.17,24.69,23.99
40,28.61,24.96,24.52,24.43,25.13,23.99
42,28.71,25.22,25.04,24.78,24.69,24.25
44,29.25,25.04,24.52,24.25,25.13,23.73
46,28.89,25.22,24.52,24.17,24.87,24.43
48,29.62,25.13,24.52,24.17,24.87,24.43
51,29.89,25.13,24.69,24.43,25.31,24.34
53,30.08,25.57,24.96,24.43,24.60,23.90
55,30.26,25.22,24.69,24.43,25.22,23.99
57,29.99,25.40,24.60,24.17,24.87,24.43
59,30.26,25.40,24.69,24.08,24.78,24.25
61,31.38,24.87,24.87,24.08,24.60,24.08
63,31.56,26.02,24.87,24.08,24.60,23.90
65,31.85,25.93,24.87,24.17,24.69,24.17
67,31.56,25.48,25.04,24.60,25.04,24.25
69,31.94,25.93,25.40,24.87,24.60,23.82
71,32.03,25.57,25.04,24.52,25.22,24.60
73,32.60,25.75,25.31,24.17,24.52,23.90
75,32.60,26.02,25.04,24.17,24.60,24.08
77,32.70,25.93,25.48,24.69,25.04,23.90
79,32.89,25.75,25.22,24.60,25.22,24.52
81,33.27,26.28,25.66,24.69,24.60,23.73
83,33.37,25.93,25.40,24.78,24.87,24.08
85,33.66,26.46,25.13,24.52,24.60,23.82
87,33.75,26.02,25.22,24.34,24.87,24.34
89,33.95,26.55,25.57,24.78,24.69,23.82
91,34.43,26.64,25.40,24.25,24.69,23.99
93,34.33,26.64,24.96,24.52,24.60,23.73
95,34.63,26.28,25.31,24.25,24.78,24.17
97,34.73,26.82,24.96,24.52,24.69,23.82
99,34.73,26.73,26.10,23.82,24.78,23.90
101,34.92,26.37,25.48,24.34,24.78,24.25
103,35.12,26.46,25.48,24.34,24.87,24.25
105,35.22,26.91,26.19,23.99,25.04,23.90
108,35.32,26.55,25.57,24.52,25.04,24.43
110,35.51,26.99,26.19,24.69,25.31,24.08
112,35.91,26.73,26.10,24.43,24.69,23.90
114,35.81,26.99,25.75,24.34,24.69,24.08
116,35.91,26.82,25.75,24.52,24.96,24.52
118,36.01,26.91,26.02,24.78,25.31,24.25
120,36.41,27.53,25.84,24.87,24.78,23.99
122,36.51,27.44,26.46,25.13,24.87,24.08
124,36.51,27.08,26.02,24.60,25.13,24.60
126,36.92,27.17,26.02,24.43,24.69,24.25
128,36.92,27.17,26.10,24.60,25.13,24.60
130,37.33,27.08,26.46,24.60,24.78,23.99
132,37.22,27.71,26.73,24.60,25.31,24.08
134,37.53,27.53,26.19,24.52,24.87,24.25
136,37.63,27.89,26.37,24.60,24.78,23.90
138,37.53,27.71,26.28,24.52,24.78,24.08
140,37.74,27.80,26.73,25.22,24.52,24.69
142,37.84,27.89,26.91,25.22,24.34,24.43
144,38.05,27.71,26.37,24.69,24.87,24.60
146,38.36,28.34,26.02,25.04,24.96,23.90
148,38.36,28.25,26.64,24.69,24.78,23.90
150,38.36,27.89,26.55,24.69,25.04,24.17
152,38.57,28.07,26.82,25.04,25.48,24.25
154,38.98,27.62,26.91,24.78,24.87,23.90
156,38.98,28.61,26.55,25.31,25.04,23.99
158,39.09,28.61,26.73,25.31,25.04,23.90
160,38.98,28.34,26.99,25.13,25.40,24.43
162,39.41,28.80,26.37,25.22,24.87,23.90
165,39.51,28.43,26.91,24.78,24.78,23.99
167,39.73,28.89,27.17,24.96,24.96,23.90
169,39.83,28.61,26.99,24.87,24.87,23.82
171,39.73,28.61,27.08,25.22,25.40,24.52
173,39.73,28.89,27.08,24.87,24.87,23.73
175,40.05,29.16,27.08,25.48,25.22,23.90
177,40.05,28.80,27.26,25.22,25.40,24.43
179,40.26,28.89,27.08,24.96,24.96,23.99
181,40.26,28.98,27.44,25.40,25.57,24.52
183,40.37,29.25,27.71,25.57,24.96,24.52
185,40.59,29.53,27.80,24.52,25.40,24.08
187,40.69,29.43,27.89,25.66,24.52,24.43
189,40.80,29.43,27.89,25.75,24.69,24.52
191,41.02,29.62,27.71,25.13,24.96,23.82
193,41.24,29.43,27.62,25.13,24.96,23.82
195,41.35,29.43,27.62,25.13,25.04,23.82
197,41.35,29.53,27.71,25.13,25.04,23.73
199,41.57,29.62,28.16,25.48,25.22,23.73
201,41.35,29.53,27.80,25.48,25.40,24.17
203,41.57,29.71,27.98,25.57,25.57,24.34
205,41.46,29.89,27.80,25.22,25.04,23.73
207,41.68,29.80,27.98,25.57,25.48,24.52
209,41.79,29.80,27.98,25.40,25.31,24.17
211,42.24,30.35,28.16,25.40,25.13,23.73
213,42.24,30.17,27.62,25.75,25.31,23.82
215,42.01,29.99,28.07,25.48,25.40,24.17
217,42.35,30.54,27.98,25.93,25.40,23.90
219,42.35,30.08,28.16,25.48,25.40,24.08
221,42.35,30.45,28.34,25.40,25.13,23.73
224,42.46,30.45,28.52,26.02,25.40,23.73
226,42.57,30.45,28.52,25.93,25.84,23.99
228,42.57,30.35,28.25,25.57,25.31,24.08
230,42.69,30.45,28.43,25.66,25.57,24.25
232,42.80,30.54,28.71,25.93,25.84,23.64
234,42.91,30.63,28.61,25.84,25.84,24.34
236,43.03,31.00,28.80,25.04,25.75,23.90
238,43.48,31.00,28.80,25.66,25.31,23.55
240,43.14,30.82,28.71,25.84,25.66,24.43
242,43.26,30.91,28.89,26.02,25.84,24.25
244,43.37,30.91,28.71,25.66,25.31,23.90
246,43.48,31.38,29.16,25.22,25.75,23.99
248,43.60,31.38,29.25,25.48,26.02,24.08
250,43.60,31.00,28.71,25.75,25.40,23.99
252,43.37,31.38,28.89,25.75,25.31,23.82
254,43.83,31.19,28.80,25.75,25.31,23.90
256,43.83,31.38,28.98,25.75,25.31,23.73
258,43.83,31.28,29.07,26.19,25.93,24.78
260,44.18,31.56,29.25,25.84,25.40,23.73
262,44.18,31.47,28.98,25.84,25.48,24.25
264,44.18,32.03,28.71,26.10,25.48,23.73
266,44.18,31.56,29.25,26.19,26.02,23.64
