time_s,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
0,23.99,23.73,23.21,23.03,23.73,23.47
2,23.99,23.64,23.21,23.03,23.73,23.38
4,23.99,23.73,23.21,23.03,23.73,23.38
6,23.99,23.73,23.21,23.03,23.73,23.73
8,23.99,23.73,23.21,23.03,23.73,23.29
10,24.08,23.73,23.21,23.03,23.64,23.21
12,24.17,23.73,23.21,23.03,23.73,23.03
14,24.34,23.73,23.21,23.03,23.73,23.21
16,24.52,23.73,23.29,23.03,23.64,23.29
18,24.69,23.73,23.29,23.03,23.64,23.38
20,24.96,23.73,23.29,23.03,23.64,23.38
22,25.22,23.73,23.29,23.03,23.64,23.38
24,25.48,23.73,23.29,23.03,23.73,23.38
26,25.84,23.82,23.29,23.03,23.64,23.29
28,26.10,23.82,23.29,23.03,23.64,23.38
30,26.46,23.82,23.38,23.03,23.64,23.21
32,26.82,23.82,23.38,23.03,23.73,23.29
34,27.17,23.82,23.38,23.03,23.64,23.29
36,27.53,23.90,23.38,23.12,23.73,23.29
38,27.89,23.90,23.47,23.03,23.73,23.21
40,28.25,23.99,23.47,23.03,23.64,23.21
42,28.61,23.99,23.47,23.03,23.64,23.12
44,28.98,24.08,23.55,23.03,23.64,23.03
46,29.34,24.08,23.55,23.03,23.64,23.12
48,29.71,24.08,23.55,23.03,23.64,23.03
51,30.08,24.17,23.64,23.03,23.64,23.03
53,30.45,24.17,23.64,23.03,23.64,22.94
55,30.72,24.25,23.64,23.03,23.64,23.12
57,31.10,24.25,23.73,23.03,23.64,23.21
59,31.47,24.34,23.73,23.12,23.64,23.12
61,31.75,24.34,23.82,23.03,23.64,23.12
63,32.13,24.34,23.82,23.03,23.64,23.03
65,32.41,24.43,23.90,23.03,23.73,22.77
67,32.79,24.52,23.90,23.03,23.64,23.03
69,33.08,24.52,23.99,23.12,23.64,22.94
71,33.46,24.60,23.99,23.12,23.64,23.03
73,33.75,24.60,23.99,23.12,23.64,23.03
75,34.04,24.69,24.08,23.12,23.64,23.12
77,34.33,24.69,24.08,23.12,23.64,23.03
79,34.63,24.78,24.17,23.12,23.64,23.12
81,35.02,24.87,24.17,23.12,23.64,23.12
83,35.22,24.87,24.17,23.12,23.73,23.12
85,35.51,24.87,24.25,23.12,23.64,23.03
87,35.81,24.96,24.25,23.12,23.64,23.03
89,36.11,25.04,24.34,23.12,23.73,23.12
91,36.41,25.04,24.34,23.12,23.64,23.03
93,36.62,25.13,24.43,23.21,23.64,23.03
95,36.92,25.22,24.43,23.21,23.73,23.21
97,37.22,25.22,24.43,23.12,23.73,23.21
99,37.43,25.31,24.52,23.21,23.64,23.21
101,37.74,25.31,24.52,23.21,23.73,23.21
103,37.94,25.40,24.60,23.21,23.73,23.21
105,38.25,25.40,24.60,23.21,23.64,23.12
108,38.46,25.48,24.60,23.21,23.73,23.03
110,38.67,25.57,24.69,23.21,23.73,23.12
112,38.98,25.57,24.69,23.21,23.73,23.03
114,39.20,25.66,24.78,23.21,23.73,22.94
116,39.41,25.66,24.78,23.21,23.73,22.60
118,39.62,25.75,24.87,23.21,23.73,22.94
120,39.94,25.75,24.87,23.29,23.73,23.03
122,40.05,25.84,24.96,23.21,23.73,22.86
124,40.26,25.93,24.96,23.29,23.73,22.94
126,40.48,25.93,24.96,23.21,23.73,22.94
128,40.69,26.02,25.04,23.29,23.73,23.12
130,40.91,26.10,25.04,23.29,23.82,23.03
132,41.13,26.10,25.04,23.29,23.73,23.03
134,41.35,26.19,25.04,23.29,23.73,23.29
136,41.57,26.19,25.13,23.38,23.73,23.12
138,41.79,26.28,25.13,23.38,23.73,23.12
140,42.01,26.37,25.22,23.38,23.73,23.03
142,42.24,26.37,25.22,23.38,23.73,23.03
144,42.35,26.46,25.31,23.38,23.73,23.21
146,42.57,26.46,25.31,23.38,23.73,23.21
148,42.80,26.55,25.31,23.38,23.73,23.21
150,42.91,26.55,25.40,23.38,23.73,23.29
152,43.14,26.64,25.40,23.38,23.73,23.21
154,43.26,26.73,25.40,23.47,23.73,23.21
156,43.48,26.73,25.48,23.47,23.73,23.21
158,43.72,26.82,25.48,23.47,23.82,23.21
160,43.83,26.82,25.48,23.47,23.73,23.21
162,44.06,26.91,25.57,23.47,23.82,23.21
165,44.18,26.99,25.57,23.47,23.73,23.12
167,44.41,26.99,25.66,23.55,23.73,23.12
169,44.53,27.08,25.66,23.47,23.82,23.03
171,44.77,27.08,25.66,23.55,23.82,23.12
173,44.88,27.17,25.75,23.55,23.73,23.21
175,45.00,27.26,25.75,23.55,23.82,23.03
177,45.12,27.26,25.84,23.55,23.82,23.03
179,45.36,27.35,25.84,23.55,23.82,23.03
181,45.48,27.35,25.84,23.55,23.82,23.03
183,45.72,27.44,25.93,23.64,23.90,23.03
185,45.84,27.44,25.93,23.64,23.82,23.03
187,45.96,27.53,25.93,23.64,23.73,23.03
189,46.08,27.53,26.02,23.64,23.82,23.03
191,46.20,27.62,26.02,23.64,23.82,23.12
193,46.33,27.62,26.02,23.64,23.82,23.12
195,46.57,27.71,26.10,23.73,23.82,23.21
197,46.69,27.80,26.10,23.64,23.82,23.21
